,BAP1,EPAS1,MTOR,NF2,PIK3CA,PTEN,PTGS2,RNF139,SETD2,TP53,TSC1,VHL,Y
76,34.03974263,39.8096,33.33195,33.37723,32.798,35.70237,33.83495,31.79484,33.46657,32.66838,33.43912,32.03419,1
77,32.38650324,37.92872,32.86041,33.47433,33.54134,37.21806,30.98252,32.14202,33.61631,34.34241,32.8186,30.49254,1
78,32.99649992,38.65327,33.23533,33.74632,32.58867,35.97244,30.57652,32.2783,33.01482,33.6308,33.0421,31.94063,0
79,34.86485689,38.27605,34.63616,34.77988,32.09836,34.45281,33.08542,31.52744,33.60898,34.31895,33.10088,32.52772,0
80,33.74145712,39.6193,33.68734,33.5835,33.01368,36.65923,30.25509,32.51365,33.55131,33.81702,33.60715,32.45828,1
81,34.08906636,38.33406,34.47341,33.24561,32.99918,37.08126,31.17965,32.58187,34.03615,33.35766,32.48108,32.66118,1
82,30.62737136,37.05733,32.71973,34.60269,33.99473,38.42009,31.05233,33.87347,34.15174,35.99596,35.1261,31.66193,0
83,33.40513629,37.04721,33.8174,34.66412,33.13107,36.17264,29.87485,32.57871,33.2205,34.81239,32.52145,32.27549,0
84,32.96255194,38.6133,33.50868,33.98953,33.34988,36.8944,30.08276,32.74535,33.16198,34.16262,33.46131,32.23248,0
85,32.11924786,37.97258,34.20988,34.81726,33.96631,36.57712,29.7252,32.61104,32.92341,34.93107,32.95042,32.42409,0
86,32.75240305,36.78216,33.60875,33.93851,33.32327,36.11155,31.25663,32.39492,32.86426,34.79643,33.53603,32.05164,1
87,33.02993186,37.39869,33.80179,34.04512,33.03772,36.76966,31.02731,33.0803,33.59617,34.89437,32.6395,32.33634,0
88,34.9643336,37.89946,33.00406,34.55969,31.47737,36.18277,29.51893,31.3777,33.30127,36.22918,33.68291,30.22936,0
89,32.24311453,37.37068,33.81692,34.53973,32.73772,35.98807,31.166,31.51048,33.6305,35.05117,33.7627,29.58428,1
90,33.1961024,38.29092,33.79581,33.69616,33.48997,37.03893,33.89935,32.52178,33.39326,34.30918,32.6623,31.42001,1
91,33.48499487,37.31241,32.95161,34.31815,32.22252,35.08758,30.64841,31.72677,32.70731,34.84309,33.35873,31.48752,0
92,33.05068767,37.21082,33.37514,33.8424,32.82007,35.92146,30.10766,32.00527,33.04194,33.23192,33.36301,31.61144,0
93,33.30937391,38.48588,33.28405,34.14889,33.62691,37.18132,33.01476,33.12648,33.27627,34.57746,33.79499,32.14381,1
94,34.74917766,38.78327,33.59027,34.89126,33.56009,36.68112,27.78768,33.27137,34.01877,34.72599,34.88136,30.75471,1
95,33.26302006,39.06744,34.19837,34.01918,31.72595,36.44905,27.4973,32.25407,32.89642,34.92621,33.18921,32.29419,0
96,33.68651899,36.93605,33.74754,33.63608,32.46266,35.83951,31.13347,31.83699,33.28546,34.46347,32.95898,32.24201,0
97,33.3104705,37.99282,33.04792,33.53556,32.75665,36.60599,30.98245,31.25422,33.14876,34.3781,33.15884,29.89866,1
98,33.51777852,36.84995,33.36822,33.55628,31.85745,35.34237,33.61921,30.97422,33.12518,33.41211,32.76926,33.11616,1
99,33.08351917,38.27938,33.17059,34.10863,32.85003,36.13302,31.13091,31.45533,32.89764,33.56879,33.84952,31.75488,0
100,32.53938701,37.52104,33.39429,34.24087,33.0103,36.6719,30.49126,32.29259,33.5286,34.88799,33.04245,32.31481,1
101,33.4367367,39.23004,33.53147,33.44905,32.48797,35.7243,33.97577,32.1683,33.47137,33.52977,33.86829,31.63886,1
102,32.86122103,37.67463,33.11592,34.53322,33.40651,37.41702,29.84758,33.59045,33.50821,34.11458,32.39313,32.03623,1
103,33.45453034,37.59915,32.92998,33.40235,32.30821,36.20743,31.19019,31.93697,33.44532,35.44828,33.48525,32.92398,0
104,33.2851086,39.32126,33.82153,34.02058,33.19077,36.57855,32.5293,32.09678,33.04142,33.85185,32.87676,31.91397,1
105,32.77510153,37.55998,34.14616,34.92833,33.04829,35.97182,28.96311,32.57913,33.29523,33.55935,33.85345,31.73043,0
106,33.63734516,37.32366,34.09226,33.53045,32.27357,35.63999,29.1597,31.45516,33.97034,33.74286,33.21647,32.57188,0
107,32.39084714,37.66942,32.48611,32.9544,32.78433,36.37707,24.53212,32.60136,33.19969,32.14179,33.59925,31.71282,1
108,34.07264467,38.38842,33.45793,33.93179,32.89393,35.68548,31.78149,31.20937,33.24517,34.20534,34.03508,32.65344,0
109,33.40124987,37.65662,33.34867,34.50716,33.03438,36.28409,31.06175,32.0326,33.36515,34.13129,33.71803,32.4382,0
110,33.45462494,38.50824,33.70393,33.32883,33.5332,37.24268,31.41639,31.7264,33.55678,35.14118,32.76001,31.75438,1
111,33.43174688,37.2883,34.11175,34.73716,32.43275,36.70972,32.71145,31.4166,33.12641,33.46485,33.65682,31.89459,0
112,32.38504595,37.96332,33.42897,33.94316,32.84079,36.8763,30.52787,32.52812,33.45031,34.15723,33.46323,31.72456,1
113,33.50229509,38.97151,33.67073,33.81769,33.67084,37.60411,30.50273,33.05536,33.66018,34.82508,33.53278,32.17025,0
114,33.52941692,37.57963,33.21178,33.94863,32.21802,35.48098,31.08662,31.98942,33.53201,33.56026,32.63767,31.94041,1
115,32.77011586,38.07266,33.39232,33.55748,33.13873,36.45442,28.66399,32.56691,33.00004,34.9218,33.36483,31.32521,0
116,32.84745723,35.67956,32.90937,33.55129,33.01355,36.44109,28.9766,33.81127,32.82706,32.79264,33.97402,32.42861,0
117,33.04256406,37.53006,33.85817,33.92175,33.46334,37.64543,32.57786,32.99709,33.62452,34.44467,32.36012,32.7842,1
118,32.20574551,37.47726,32.95064,33.59857,32.04175,36.38799,32.26357,32.16694,33.51938,34.9011,32.3928,31.30706,1
119,33.58118204,37.37288,33.04058,33.86715,31.92434,36.95066,28.42757,31.63006,34.20298,32.71065,33.95055,31.6633,0
120,33.17636785,38.16432,33.33055,33.79424,33.54185,37.28594,31.91863,31.93161,33.58572,34.97155,32.60673,32.4917,1
121,32.67289278,37.89326,33.43481,33.72244,32.96841,36.32164,29.59332,31.93856,33.1972,33.86867,32.91363,31.5165,1
122,33.08085915,38.6275,33.31664,34.42309,32.68642,36.59053,29.14846,32.08049,32.70356,33.8288,33.56574,31.66316,0
