	#node1	node2
528	RPS6KB2	PRKCE
529	SH3KBP1	MAP3K4
530	SKP1	CKS1B
531	SKP1	SKP2
532	SKP2	SKP1
533	SKP2	CKS1B
534	TAB1	MAPK11
535	TAB1	PRKG1
536	TAB1	MAP3K3
537	TAB1	TAB3
538	TAB1	TAB2
539	TAB1	MAP3K7
540	TAB1	MAPK14
541	TAB2	TAB1
542	TAB2	MAP3K3
543	TAB2	TAB3
544	TAB2	MAP3K7
545	TAB3	TAB1
546	TAB3	TAB2
547	TAB3	MAP3K7
548	TEC	DOK1
549	WNK1	WNK2
550	WNK2	WNK1
551	ZAP70	LCK
